block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,3.3433994972972365,3.2024160155143693,4.443840858964592,5.867349943047014,3.4923804754584764
1,2.2564408764302186,3.4073587054782064,3.506524307968508,3.376006378574541,2.699236817355167
2,2.9919669133897795,3.4282201798422536,3.2982152460744474,4.120742155848704,2.9783896597999826
3,4.147865868790597,3.50527159702291,6.5729180284679645,6.773684118055928,4.056432654238214
4,4.505098903200691,3.5338167811432575,4.705488536743684,7.606988322290677,4.004821207275424
5,3.6137633251532777,3.6682759474780275,6.104880496162374,6.38004060194675,3.1287349597591207
6,3.609057736059514,3.374366078711115,4.3155274142027045,5.451977915338864,3.6777072473657095
7,3.993812711039234,3.695049391592875,4.249752967204732,5.021145887946886,4.200621816912858
8,2.781300561766781,3.559739389691055,3.8582781299464184,5.026196450924946,3.058531702980128
9,3.401649551789809,3.416219777900397,6.641730379483189,4.7521439548164635,3.118929508022724
