block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,2.0,1.0,4.0,5.0,3.0
1,1.0,4.0,5.0,3.0,2.0
2,2.0,4.0,3.0,5.0,1.0
3,3.0,1.0,4.0,5.0,2.0
4,3.0,1.0,4.0,5.0,2.0
5,2.0,3.0,4.0,5.0,1.0
6,2.0,1.0,4.0,5.0,3.0
7,2.0,1.0,4.0,5.0,3.0
8,1.0,3.0,4.0,5.0,2.0
9,2.0,3.0,5.0,4.0,1.0
