model,mean,std,mean±std
GBR,3.4644355944917136,0.6700957409891949,3.46444 ± 0.670096
HPC-FLRNet,3.479073386437446,0.1459893355540106,3.47907 ± 0.145989
MLP,4.769715636521862,1.2345622227415975,4.76972 ± 1.23456
SVR,5.4376275728790775,1.2632089745796464,5.43763 ± 1.26321
XGB,3.4415786049167805,0.5211190670252354,3.44158 ± 0.521119
