model,mean,std,mean±std
GBR,4.101780322663595,0.3988924864256825,4.10178 ± 0.398892
HPC-FLRNet,3.9931696245101618,0.0546701698455185,3.99317 ± 0.0546702
MLP,4.649566783555639,0.237691859834864,4.64957 ± 0.237692
SVR,5.77222166125779,0.33797902436094696,5.77222 ± 0.337979
XGB,4.1494322026561825,0.4021255619217164,4.14943 ± 0.402126
