block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,2.0,1.0,4.0,5.0,3.0
1,2.0,3.0,4.0,5.0,1.0
2,2.0,1.0,4.0,5.0,3.0
3,2.0,1.0,4.0,5.0,3.0
4,3.0,1.0,4.0,5.0,2.0
5,1.0,2.0,4.0,5.0,3.0
6,1.0,3.0,4.0,5.0,2.0
7,3.0,1.0,4.0,5.0,2.0
8,1.0,3.0,4.0,5.0,2.0
9,2.0,1.0,4.0,5.0,3.0
