block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,4.0,1.0,2.0,3.0,5.0
1,5.0,1.0,2.0,3.0,4.0
2,5.0,1.0,3.0,2.0,4.0
3,5.0,1.0,2.0,3.0,4.0
4,5.0,1.0,2.0,3.0,4.0
5,4.0,1.0,2.0,3.0,5.0
6,4.0,1.0,2.0,3.0,5.0
7,5.0,1.0,3.0,2.0,4.0
8,5.0,1.0,3.0,2.0,4.0
9,5.0,1.0,2.0,3.0,4.0
