model,mean,std,mean±std
GBR,2.8435595313842645,0.6574285136950727,2.84356 ± 0.657429
HPC-FLRNet,0.4036844170092785,0.09981068752147254,0.403684 ± 0.0998107
MLP,1.4641408912831229,0.3839598260527634,1.46414 ± 0.38396
SVR,1.6277660944145942,0.29283964671891355,1.62777 ± 0.29284
XGB,2.4515852072049795,0.47088603829185277,2.45159 ± 0.470886
