block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,2.4391495928291014,0.18451125392378243,1.2769281970527344,1.5082090515647817,2.7257301498866537
1,3.3406274213597738,0.3176479066175763,1.7088794630108388,2.039199600169267,3.1104008872006004
2,3.52990444620533,0.5536371399284588,1.9885285530604966,1.6769691431194498,2.8261609373589867
3,3.4262804479529128,0.3565255083118779,1.511722600290734,1.7518051927627507,2.509410328035712
4,3.7096889910987287,0.4173043914092627,1.491950754971094,1.8715246838225112,2.858494843565091
5,1.6575670840594487,0.44371883387796485,0.6984185997158757,1.3229866221666304,1.9610890412262827
6,2.1860688264177512,0.42040089674010134,1.648661475161177,1.8724677053770349,2.6773854823179137
7,2.8119359705572684,0.4580149241121513,1.291121594605076,1.1325591804425617,1.8063160606455888
8,2.5766713469110005,0.46966497366376386,1.899154427051142,1.7759194490434917,2.241172764516194
9,2.7577011864513272,0.4154183415078455,1.126043247912058,1.326020315677466,1.7996915772967736
