Split,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
train,3.0458364424564683,0.22632021455282492,2.19205456034157,0.18952248781729608,0.9724599552729435,0.004115479655570352
val,4.194504701475934,0.12674880251653817,3.0409607814059516,0.06483701801557235,0.9470996021472304,0.003206599340238732
test,4.38786141289479,0.09354968235571898,3.158841361752756,0.1009089725704436,0.9409374383474451,0.0025006496236620185
