variant,p_raw(full vs variant),p_holm(m=5),cohens_dz(worse>0)
【without CRM】,0.005062032126267864,0.025310160631339323,9.26994159910608
【without FRM】,0.005062032126267864,0.025310160631339323,2.5049013934821542
【without IPM】,0.005062032126267864,0.025310160631339323,2.278363197212799
【without LayerNorm】,0.005062032126267864,0.025310160631339323,1.5666253350595014
【without dropout】,0.0069104298078147995,0.025310160631339323,1.6527869156862014
