model,mean,std,mean±std
【full】,3.9931696245101618,0.0546701698455185,3.99317 ± 0.0546702
【without CRM】,4.8214728234885085,0.04881404637116104,4.82147 ± 0.048814
【without FRM】,4.337549125933247,0.10329738263312553,4.33755 ± 0.103297
【without IPM】,4.2010468306769555,0.06987804575503895,4.20105 ± 0.069878
【without LayerNorm】,4.157551281856684,0.0731399213836967,4.15755 ± 0.0731399
【without dropout】,4.239609232552828,0.13951115436077033,4.23961 ± 0.139511
