block,【full】,【without CRM】,【without FRM】,【without IPM】,【without LayerNorm】,【without dropout】
0,1.0,6.0,5.0,3.0,4.0,2.0
1,1.0,6.0,5.0,3.0,2.0,4.0
2,1.0,6.0,4.0,2.0,3.0,5.0
3,1.0,6.0,4.0,3.0,2.0,5.0
4,1.0,6.0,5.0,3.0,2.0,4.0
5,1.0,6.0,5.0,3.0,2.0,4.0
6,1.0,6.0,4.0,3.0,2.0,5.0
7,2.0,6.0,5.0,4.0,3.0,1.0
8,1.0,6.0,5.0,2.0,3.0,4.0
9,1.0,6.0,3.0,5.0,4.0,2.0
