block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,3.0,1.0,5.0,4.0,2.0
1,3.0,1.0,4.0,5.0,2.0
2,2.0,4.0,3.0,5.0,1.0
3,3.0,1.0,5.0,4.0,2.0
4,1.0,2.0,5.0,4.0,3.0
5,2.0,1.0,4.0,5.0,3.0
6,3.0,1.0,4.0,5.0,2.0
7,1.0,3.0,4.0,5.0,2.0
8,3.0,2.0,5.0,4.0,1.0
9,3.0,1.0,4.0,5.0,2.0
