block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,4.4081288885947245,3.7657472888979386,5.382778225254475,5.194814122138774,4.108584142008889
1,4.196913962883465,3.901740277603042,5.19492496019934,5.5459079465013925,4.188070095969468
2,3.655804874766106,4.011074383618221,3.98776271443328,4.773918327446928,3.640814323418355
3,4.563851542839092,3.552085072362415,5.312091673741873,5.240132976918024,4.476707666280632
4,3.7512821251333133,3.808839760021178,6.0770015902316645,5.364210965022547,4.155371013559419
5,3.9258919936240626,3.8983523569470218,4.131419571533439,5.283460521696737,3.9963601284096884
6,4.211622609968609,3.9709570690558316,4.332428678591144,4.888926735390388,4.013492307967794
7,3.544221463336535,4.08514446940187,4.7782228868330145,5.378259407727957,3.736442600432095
8,4.159427617084831,3.975691737892722,5.185564366686939,4.8957211992467995,3.8406039824782696
9,5.461810504891902,3.7489695927900795,5.720040602404283,6.039896585473472,5.031629125038688
