model,mean,std,mean±std
GBR,4.187895558312263,0.5548647117859711,4.1879 ± 0.554865
HPC-FLRNet,3.8718602008590324,0.15622503675560748,3.87186 ± 0.156225
MLP,5.010223526990945,0.6886047718531535,5.01022 ± 0.688605
SVR,5.260524878756303,0.3691865824290855,5.26052 ± 0.369187
XGB,4.1188075385563305,0.4007959860436924,4.11881 ± 0.400796
